Country,Year,Value
Guinea-Bissau,2021,226
Guinea-Bissau,2022,240
Guinea-Bissau,2023,257
Guyana,1995,472
Guyana,2005,778
Guyana,2010,1452
Guyana,2015,1484
Guyana,2021,4468
Guyana,2022,3734
Guyana,2023,5230
Haiti,1995,650
Haiti,2005,1449
Haiti,2010,3147
Haiti,2015,1987
Haiti,2021,2520
Haiti,2022,2316
Haiti,2023,2248
Honduras,1995,1728
Honduras,2005,4419
Honduras,2010,6895
Honduras,2015,8381
Honduras,2021,11631
Honduras,2022,13365
Honduras,2023,14615
Hungary,1995,15186
Hungary,2005,65920
Hungary,2010,87432
Hungary,2015,90761
Hungary,2021,139132
Hungary,2022,159335
Hungary,2023,148898
Iceland,1995,1751
Iceland,2005,4979
Iceland,2010,3914
Iceland,2015,5285
Iceland,2021,7838
Iceland,2022,9644
Iceland,2023,9474
India,1995,36592
India,2005,140862
India,2010,350029
India,2015,390745
India,2021,570402
India,2022,732566
India,2023,671801
Indonesia,1995,40629
Indonesia,2005,57701
Indonesia,2010,135663
Indonesia,2015,142695
Indonesia,2021,196190
Indonesia,2022,237447
Indonesia,2023,217654
Iran (Islamic Republic of),1995,13882
Iran (Islamic Republic of),2005,38869
Iran (Islamic Republic of),2010,54697
Iran (Islamic Republic of),2015,40037
Iran (Islamic Republic of),2021,52958
Iran (Islamic Republic of),2022,61175
Iran (Islamic Republic of),2023,54320
Iraq,1995,445
Iraq,2005,12861
Iraq,2010,43915
Iraq,2015,30855
Iraq,2021,41307
Iraq,2022,50876
Iraq,2023,54227
Ireland,1995,32321
Ireland,2005,70284
Ireland,2010,64601
Ireland,2015,77787
Ireland,2021,122740
Ireland,2022,148630
Ireland,2023,150611
Israel,1995,28328
Israel,2005,45032
Israel,2010,59194
Israel,2015,62068
Israel,2021,92159
Israel,2022,107758
Israel,2023,83163
Italy,1995,200320
Italy,2005,384836
Italy,2010,486984
Italy,2015,410933
Italy,2021,568202
Italy,2022,695236
Italy,2023,639929
Jamaica,1995,2773
Jamaica,2005,4885
Jamaica,2010,5225
Jamaica,2015,4993
Jamaica,2021,5971
Jamaica,2022,7731
Jamaica,2023,7995
Japan,1995,336094
Japan,2005,515866
Japan,2010,694059
Japan,2015,625568
Japan,2021,772276
Japan,2022,898600
Japan,2023,751750
Jordan,1995,3696
Jordan,2005,10455
Jordan,2010,15262
Jordan,2015,20475
Jordan,2021,21542
Jordan,2022,27364
Jordan,2023,25652
Kazakhstan,1995,3805
Kazakhstan,2005,17333
Kazakhstan,2010,24024
Kazakhstan,2015,30567
Kazakhstan,2021,41415
Kazakhstan,2022,50044
Kazakhstan,2023,61161
Kenya,1995,2818
Kenya,2005,5846
Kenya,2010,12093
Kenya,2015,16058
Kenya,2021,19594
Kenya,2022,21101
Kenya,2023,19565
Kiribati,1995,34
Kiribati,2005,74
Kiribati,2010,73
Kiribati,2015,111
Kiribati,2021,174
Kiribati,2022,181
Kiribati,2023,210
Kuwait,1995,7790
Kuwait,2005,15801
Kuwait,2010,22691
Kuwait,2015,30957
Kuwait,2021,31886
Kuwait,2022,35926
Kuwait,2023,42280
Kyrgyzstan,1995,522
Kyrgyzstan,2005,1108
Kyrgyzstan,2010,3223
Kyrgyzstan,2015,4068
Kyrgyzstan,2021,5580
Kyrgyzstan,2022,9803
Kyrgyzstan,2023,12062
Lao People's Dem. Rep.,1995,588
Lao People's Dem. Rep.,2005,874
Lao People's Dem. Rep.,2010,1837
Lao People's Dem. Rep.,2015,3778
Lao People's Dem. Rep.,2021,5871
Lao People's Dem. Rep.,2022,7053
Lao People's Dem. Rep.,2023,9733
Latvia,1995,1818
Latvia,2005,8770
Latvia,2010,11143
Latvia,2015,14096
Latvia,2021,23086
Latvia,2022,27901
Latvia,2023,24979
Lebanon,1995,7295
Lebanon,2005,9327
Lebanon,2010,17970
Lebanon,2015,18600
Lebanon,2021,13857
Lebanon,2022,19500
Lebanon,2023,11487
Lesotho,2005,1410
Lesotho,2010,1277
Lesotho,2015,1421
Lesotho,2021,1668
Lesotho,2022,1869
Lesotho,2023,1767
Liberia,1995,358
Liberia,2005,309
Liberia,2010,710
Liberia,2015,2755
Liberia,2021,1479
Liberia,2022,1720
Liberia,2023,2637
Libya,1995,4912
Libya,2005,6058
Libya,2010,17674
Libya,2015,12865
Libya,2021,14956
Libya,2022,16127
Libya,2023,11936
Lithuania,1995,3649
Lithuania,2005,15704
Lithuania,2010,23378
Lithuania,2015,28176
Lithuania,2021,44476
Lithuania,2022,55110
Lithuania,2023,48418
Luxembourg,2005,17586
Luxembourg,2010,20400
Luxembourg,2015,19296
Luxembourg,2021,25537
Luxembourg,2022,26643
Luxembourg,2023,25215
Madagascar,1995,550
