Country,Year,Value
Ecuador,2021,6075.802601
Ecuador,2020,5463.645153
Ecuador,2019,6205.057652
Ecuador,2018,6303.918867
Egypt,2023,2895.074486
Egypt,2022,3634.463241
Egypt,2021,3838.478824
Egypt,2020,3571.45357
Egypt,2019,3102.461556
Egypt,2018,2485.082083
El Salvador,2023,5391.068504
El Salvador,2022,5093.518016
El Salvador,2021,4642.608124
El Salvador,2020,3997.193175
El Salvador,2019,4320.116196
El Salvador,2018,4183.54681
Equatorial Guinea,2023,6558.377066
Equatorial Guinea,2022,7477.93235
Equatorial Guinea,2021,6945.630411
Equatorial Guinea,2020,5764.055004
Equatorial Guinea,2019,6804.148207
Equatorial Guinea,2018,8102.471956
Eritrea,2023,655.6295447
Eritrea,2022,699.027657
Eritrea,2021,660.248708
Eritrea,2020,641.7578513
Eritrea,2019,611.6476508
Eritrea,2018,628.1895209
Estonia,2023,30201.40874
Estonia,2022,28424.78483
Estonia,2021,27936.61797
Estonia,2020,23931.34795
Estonia,2019,24022.62607
Estonia,2018,23618.35052
Ethiopia,2023,1241.311299
Ethiopia,2022,948.7779978
Ethiopia,2021,812.6843425
Ethiopia,2020,812.5151811
Ethiopia,2019,799.7580352
Ethiopia,2018,711.9418474
Fiji,2023,5888.736686
Fiji,2022,5405.030106
Fiji,2021,4696.170263
Fiji,2020,4844.421459
Fiji,2019,5950.828369
Fiji,2018,6085.420407
Finland,2023,52762.46745
Finland,2022,50318.99271
Finland,2021,53098.57934
Finland,2020,48828.07539
Finland,2019,48356.84084
Finland,2018,49652.35022
France,2023,44451.28713
France,2022,40829.86955
France,2021,43437.82227
France,2020,38880.53493
France,2019,40089.936
France,2018,41082.91202
French Polynesia,2023,22759.08731
French Polynesia,2022,20738.64996
French Polynesia,2021,21982.90399
French Polynesia,2020,20746.25619
French Polynesia,2019,21582.58924
French Polynesia,2018,21925.61607
Gabon,2023,8071.40221
Gabon,2022,8409.235588
Gabon,2021,8181.399289
Gabon,2020,6605.821104
Gabon,2019,7441.178645
Gabon,2018,7624.280199
Gambia,2023,890.0278395
Gambia,2022,836.2555281
Gambia,2021,795.3812901
Gambia,2020,720.335068
Gambia,2019,738.1870352
Gambia,2018,694.9735621
Georgia,2023,8019.85155
Georgia,2022,6583.929204
Georgia,2021,4975.465276
Georgia,2020,4219.072268
Georgia,2019,4647.440871
Georgia,2018,4718.31782
Germany,2023,53528.07327
Germany,2022,49515.79476
Germany,2021,51952.79554
Germany,2020,47114.71259
Germany,2019,47358.1451
Germany,2018,48603.58774
Ghana,2023,2260.287344
Ghana,2022,2240.279451
Ghana,2021,2445.500818
Ghana,2020,2196.547762
Ghana,2019,2186.189407
Ghana,2018,2196.612877
Greece,2023,23772.38312
Greece,2022,21020.98313
Greece,2021,20634.48586
Greece,2020,17885.44591
Greece,2019,19340.78276
Greece,2018,19877.17588
Greenland,2023,54374.48281
Greenland,2022,52261.45426
Greenland,2021,57740.03786
Greenland,2020,54972.97712
Greenland,2019,53443.2306
Greenland,2018,54495.52822
Grenada,2023,11246.34512
Grenada,2022,10474.26529
Grenada,2021,9622.409182
Grenada,2020,8968.558901
Grenada,2019,10462.79292
Grenada,2018,10083.02128
Guatemala,2023,5762.840754
Guatemala,2022,5358.089811
Guatemala,2021,4913.946917
Guatemala,2020,4477.617618
Guatemala,2019,4511.997356
Guatemala,2018,4352.946759
Guinea,2023,1597.042473
Guinea,2022,1390.387625
Guinea,2021,1186.389232
Guinea,2020,1053.660977
Guinea,2019,1031.345047
Guinea,2018,933.2736156
Guinea-Bissau,2023,855.1471499
Guinea-Bissau,2022,749.2353881
Guinea-Bissau,2021,767.9218635
Guinea-Bissau,2020,693.6836266
Guinea-Bissau,2019,693.8723065
Guinea-Bissau,2018,742.6372002
Guyana,2023,20188.59389
Guyana,2022,17913.49101
Guyana,2021,9864.728336
Guyana,2020,6779.179243
Guyana,2019,6405.824434
Guyana,2018,6048.386982
Haiti,2023,1704.952941
Haiti,2022,1630.034178
Haiti,2021,1674.235641
Haiti,2020,1471.716781
Haiti,2019,1266.559938
Haiti,2018,1434.945446
